Frequency	Gain
10.00000	-49.79670
15.00000	-47.64540
20.00000	-43.19155
25.00000	-44.83511
30.00000	-43.73679
35.00000	-41.55796
40.00000	-39.29203
45.00000	-38.29622
50.00000	-37.40444
55.00000	-36.46530
60.00000	-35.57624
65.00000	-34.81765
70.00000	-33.94770
75.00000	-26.83810
80.00000	-32.41754
85.00000	-31.59912
90.00000	-30.33288
95.00000	-29.86180
100.00000	-28.92707
105.00000	-27.92563
110.00000	-26.94091
115.00000	-25.87198
120.00000	-24.70277
125.00000	-23.30993
130.00000	-21.84976
135.00000	-20.09710
140.00000	-18.01510
145.00000	-15.46718
150.00000	-12.15400
155.00000	-7.33415
160.00000	-0.66812
165.00000	-4.25425
170.00000	-9.32735
175.00000	-12.19781
180.00000	-14.25985
185.00000	-15.96459
190.00000	-17.26107
195.00000	-18.25331
200.00000	-19.02331
205.00000	-19.62628
210.00000	-20.08315
215.00000	-20.42057
220.00000	-20.65552
225.00000	-20.79653
230.00000	-20.84941
235.00000	-20.82485
240.00000	-20.72612
245.00000	-20.53685
250.00000	-20.27949
255.00000	-19.94200
260.00000	-19.52391
265.00000	-19.02336
270.00000	-18.43580
275.00000	-17.74014
280.00000	-16.93527
285.00000	-15.99665
290.00000	-14.90361
295.00000	-13.62154
300.00000	-12.09332
305.00000	-10.24430
310.00000	-7.94533
315.00000	-5.00073
320.00000	-1.30702
325.00000	 1.36830
330.00000	-0.79383
335.00000	-4.19067
340.00000	-6.86473
345.00000	-8.88062
350.00000	-10.43970
355.00000	-11.66978
360.00000	-12.65105
365.00000	-13.44609
370.00000	-14.08232
375.00000	-14.58501
380.00000	-14.97557
385.00000	-15.26494
390.00000	-15.46799
395.00000	-15.58462
400.00000	-15.62071
405.00000	-15.58517
410.00000	-15.43729
415.00000	-15.29012
420.00000	-15.03578
425.00000	-14.70079
430.00000	-14.29095
435.00000	-13.79863
440.00000	-13.21419
445.00000	-12.53058
450.00000	-11.73009
455.00000	-10.80446
460.00000	-9.72034
465.00000	-8.46029
470.00000	-6.97087
475.00000	-5.19551
480.00000	-3.14304
485.00000	-0.89064
490.00000	 0.85863
495.00000	 0.79703
500.00000	-0.91220
505.00000	-3.01522
510.00000	-4.91227
515.00000	-6.50708
520.00000	-7.83888
525.00000	-8.95446
530.00000	-9.89497
535.00000	-10.68817
540.00000	-11.35946
545.00000	-11.93880
550.00000	-12.45152
555.00000	-12.92046
560.00000	-13.35037
565.00000	-13.65810
570.00000	-13.80864
575.00000	-13.84302
580.00000	-13.80101
585.00000	-13.69745
590.00000	-13.36558
595.00000	-13.31105
600.00000	-13.01783
605.00000	-12.64506
610.00000	-12.18708
615.00000	-11.62701
620.00000	-10.95864
625.00000	-10.15272
630.00000	-9.18991
635.00000	-8.03094
640.00000	-6.62164
645.00000	-4.89549
650.00000	-2.76978
655.00000	-0.28591
660.00000	 1.81696
665.00000	 1.64019
670.00000	-0.70875
675.00000	-3.29692
680.00000	-5.50130
685.00000	-7.31345
690.00000	-8.81185
695.00000	-10.06171
700.00000	-11.11978
705.00000	-12.01576
710.00000	-12.77489
715.00000	-13.41736
720.00000	-13.95454
725.00000	-14.40041
730.00000	-14.75578
735.00000	-15.02836
740.00000	-15.22564
745.00000	-15.34124
750.00000	-15.38470
755.00000	-15.34529
760.00000	-15.23094
765.00000	-15.02992
770.00000	-14.46022
775.00000	-14.35422
780.00000	-13.86247
785.00000	-13.24731
790.00000	-12.48994
795.00000	-11.55693
800.00000	-10.40855
805.00000	-8.97799
810.00000	-7.15960
815.00000	-4.78299
820.00000	-1.60840
825.00000	 2.06484
830.00000	 2.25218
835.00000	-1.55273
840.00000	-4.97323
845.00000	-7.57587
850.00000	-9.60122
855.00000	-11.22741
860.00000	-12.56581
865.00000	-13.68199
870.00000	-14.59564
875.00000	-15.41390
880.00000	-16.08212
885.00000	-16.64308
890.00000	-17.10112
895.00000	-17.47056
900.00000	-17.75424
905.00000	-17.95678
910.00000	-17.39263
915.00000	-18.12420
920.00000	-18.08693
925.00000	-17.97025
930.00000	-17.77525
935.00000	-17.48068
940.00000	-17.09166
945.00000	-16.59144
950.00000	-15.96814
955.00000	-15.19161
960.00000	-14.24864
965.00000	-13.05704
970.00000	-11.61370
975.00000	-9.74177
980.00000	-7.25456
985.00000	-3.77518
990.00000	 0.86754
995.00000	 1.40536
1000.00000	-3.40086
1005.00000	-7.18115
1010.00000	-9.90656
1015.00000	-11.97828
1020.00000	-13.62200
1025.00000	-14.95888
1030.00000	-16.06648
1035.00000	-16.98700
1040.00000	-17.76720
1045.00000	-18.41573
1050.00000	-18.95095
1055.00000	-19.38335
1060.00000	-19.72858
1065.00000	-19.98720
1070.00000	-20.16314
1075.00000	-20.25936
1080.00000	-20.27448
1085.00000	-20.21385
1090.00000	-20.07728
1095.00000	-19.85069
1100.00000	-19.53574
1105.00000	-19.12157
1110.00000	-18.59932
1115.00000	-17.95445
1120.00000	-17.16703
1125.00000	-16.20333
1130.00000	-15.02209
1135.00000	-13.55206
1140.00000	-11.68489
1145.00000	-9.21363
1150.00000	-5.76211
1155.00000	-1.00232
1160.00000	 0.12860
1165.00000	-4.79552
1170.00000	-8.71233
1175.00000	-11.51897
1180.00000	-13.65101
1185.00000	-15.34560
1190.00000	-16.72916
1195.00000	-17.87777
1200.00000	-18.83195
1205.00000	-19.62466
1210.00000	-20.27861
1215.00000	-20.80752
1220.00000	-21.24458
1225.00000	-21.57583
1230.00000	-21.61490
1235.00000	-21.98686
1240.00000	-22.08668
1245.00000	-22.10599
1250.00000	-22.05050
1255.00000	-21.91760
1260.00000	-21.69626
1265.00000	-21.39487
1270.00000	-21.00315
1275.00000	-20.50457
1280.00000	-19.88655
1285.00000	-19.13617
1290.00000	-18.21526
1295.00000	-17.08720
1300.00000	-15.69243
1305.00000	-13.92534
1310.00000	-11.61411
1315.00000	-8.41133
1320.00000	-3.77211
1325.00000	-0.40961
1330.00000	-5.14498
1335.00000	-9.51514
1340.00000	-12.55807
1345.00000	-14.81433
1350.00000	-16.58131
1355.00000	-18.00101
1360.00000	-19.16635
1365.00000	-20.14241
1370.00000	-20.95889
1375.00000	-21.64510
1380.00000	-22.21444
1385.00000	-22.68166
1390.00000	-23.05726
1395.00000	-23.34756
1400.00000	-23.55336
1405.00000	-23.68066
1410.00000	-23.73011
1415.00000	-23.69134
1420.00000	-23.56239
1425.00000	-23.40418
1430.00000	-23.13685
1435.00000	-22.73528
1440.00000	-22.29549
1445.00000	-21.71732
1450.00000	-20.99499
1455.00000	-20.12727
1460.00000	-19.06399
1465.00000	-17.75141
1470.00000	-16.10534
1475.00000	-13.98067
1480.00000	-11.09575
1485.00000	-6.94061
1490.00000	-2.07982
1495.00000	-4.93141
1500.00000	-9.77356
1505.00000	-13.14076
1510.00000	-15.58400
1515.00000	-17.45761
1520.00000	-18.95152
1525.00000	-20.16292
1530.00000	-21.16853
1535.00000	-22.01607
1540.00000	-22.71314
1545.00000	-23.28781
1550.00000	-23.73570
1555.00000	-24.13699
1560.00000	-18.64378
1565.00000	-24.64744
1570.00000	-24.77442
1575.00000	-24.83159
1580.00000	-24.80545
1585.00000	-24.70748
1590.00000	-24.52968
1595.00000	-24.26973
1600.00000	-23.91764
1605.00000	-23.47356
1610.00000	-22.91502
1615.00000	-22.23523
1620.00000	-21.40762
1625.00000	-20.40250
1630.00000	-19.17272
1635.00000	-17.64424
1640.00000	-15.68749
1645.00000	-13.07633
1650.00000	-9.41044
1655.00000	-4.41581
1660.00000	-4.52436
1665.00000	-9.60069
1670.00000	-13.33845
1675.00000	-16.01466
1680.00000	-18.04691
1685.00000	-19.65358
1690.00000	-20.96414
1695.00000	-22.04913
1700.00000	-22.95796
1705.00000	-23.71279
1710.00000	-24.35344
1715.00000	-24.87852
1720.00000	-24.74615
1725.00000	-25.46326
1730.00000	-25.91159
1735.00000	-26.09286
1740.00000	-26.18882
1745.00000	-26.21357
1750.00000	-26.15476
1755.00000	-25.90493
1760.00000	-25.59071
1765.00000	-25.50500
1770.00000	-25.12195
1775.00000	-24.61980
